Subsystem	Phenotype	isDone	Filename
Glucose utilization in bifidobacteria	Glc	1	Glucose utilization in bifidobacteria_Glc.csv
Galactose utilization in bifidobacteria	Gal	1	Galactose utilization in bifidobacteria_Gal.csv
Ribose utilization in bifidobacteria	Rib	1	Ribose utilization in bifidobacteria_Rib.csv
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	1	N-acetylglucosamine utilization in bifidobacteria_GlcNAc.csv
N-acetylglucosamine utilization in bifidobacteria	Chb	1	N-acetylglucosamine utilization in bifidobacteria_Chb.csv
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	1	N-acetylglucosamine utilization in bifidobacteria_GlcNAc6S.csv
Fucose utilization in bifidobacteria	Fuc	1	Fucose utilization in bifidobacteria_Fuc.csv
Sialic acid utilization in bifidobacteria	Neu5Ac	1	Sialic acid utilization in bifidobacteria_Neu5Ac.csv
Sialic acid utilization in bifidobacteria	ManNAc	0	Sialic acid utilization in bifidobacteria_ManNAc.csv
HMO utilization in bifidobacteria	LNB	1	HMO utilization in bifidobacteria_LNB.csv
HMO utilization in bifidobacteria	LNT	1	HMO utilization in bifidobacteria_LNT.csv
HMO utilization in bifidobacteria	LNnT	1	HMO utilization in bifidobacteria_LNnT.csv
HMO utilization in bifidobacteria	2'FL	1	HMO utilization in bifidobacteria_2'FL.csv
HMO utilization in bifidobacteria	3FL	1	HMO utilization in bifidobacteria_3FL.csv
HMO utilization in bifidobacteria	LDFT	1	HMO utilization in bifidobacteria_LDFT.csv
HMO utilization in bifidobacteria	LNFPI	1	HMO utilization in bifidobacteria_LNFPI.csv
HMO utilization in bifidobacteria	lcFHMO	1	HMO utilization in bifidobacteria_lcFHMO.csv
HMO utilization in bifidobacteria	SHMO	1	HMO utilization in bifidobacteria_SHMO.csv
N-glycan utilization in bifidobacteria	Nglyc	1	N-glycan utilization in bifidobacteria_Nglyc.csv
N-glycan utilization in bifidobacteria	Ncore	1	N-glycan utilization in bifidobacteria_Ncore.csv
O-glycan utilization in bifidobacteria	GalNAc	0	O-glycan utilization in bifidobacteria_GalNAc.csv
O-glycan utilization in bifidobacteria	GNB	1	O-glycan utilization in bifidobacteria_GNB.csv
