Subsystem	Phenotype	ShortName
Glucose utilization in bifidobacteria	Glc	GlcK
Glucose utilization in bifidobacteria	Glc	PpgK
Glucose utilization in bifidobacteria	Glc	GlcP
Glucose utilization in bifidobacteria	Glc	GlcU
Glucose utilization in bifidobacteria	Glc	PtsG
Galactose utilization in bifidobacteria	Gal	GalK
Galactose utilization in bifidobacteria	Gal	GalT
Galactose utilization in bifidobacteria	Gal	GalE
Galactose utilization in bifidobacteria	Gal	LnpD
Galactose utilization in bifidobacteria	Gal	GalP
Galactose utilization in bifidobacteria	Gal	GalS
Galactose utilization in bifidobacteria	Gal	SgaT
Ribose utilization in bifidobacteria	Rib	RbsK
Ribose utilization in bifidobacteria	Rib	RbsA
Ribose utilization in bifidobacteria	Rib	RbsB
Ribose utilization in bifidobacteria	Rib	RbsC
Ribose utilization in bifidobacteria	Rib	FruE
Ribose utilization in bifidobacteria	Rib	FruF
Ribose utilization in bifidobacteria	Rib	FruG
Ribose utilization in bifidobacteria	Rib	FruK
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagEb
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagEc
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagE2b
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagE2c
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagK
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagA
N-acetylglucosamine utilization in bifidobacteria	GlcNAc	NagB
N-acetylglucosamine utilization in bifidobacteria	Chb	NagK
N-acetylglucosamine utilization in bifidobacteria	Chb	NagA
N-acetylglucosamine utilization in bifidobacteria	Chb	NagB
N-acetylglucosamine utilization in bifidobacteria	Chb	Hex1
N-acetylglucosamine utilization in bifidobacteria	Chb	NahA
N-acetylglucosamine utilization in bifidobacteria	Chb	ChiX
N-acetylglucosamine utilization in bifidobacteria	Chb	ChiY
N-acetylglucosamine utilization in bifidobacteria	Chb	ChiZ
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	NagKs
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	NagAs
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	NagBs
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	AtsA
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	AtsB
N-acetylglucosamine utilization in bifidobacteria	GlcNAc6S	AtsT
Fucose utilization in bifidobacteria	Fuc	FumB
Fucose utilization in bifidobacteria	Fuc	FumC
Fucose utilization in bifidobacteria	Fuc	FumD
Fucose utilization in bifidobacteria	Fuc	FumE
Fucose utilization in bifidobacteria	Fuc	FumF
Fucose utilization in bifidobacteria	Fuc	FumB2
Fucose utilization in bifidobacteria	Fuc	FumC2
Fucose utilization in bifidobacteria	Fuc	FumD2
Fucose utilization in bifidobacteria	Fuc	FumE2
Fucose utilization in bifidobacteria	Fuc	FumF2
Fucose utilization in bifidobacteria	Fuc	FucP
Sialic acid utilization in bifidobacteria	Neu5Ac	NanA
Sialic acid utilization in bifidobacteria	Neu5Ac	NanK
Sialic acid utilization in bifidobacteria	Neu5Ac	NanE
Sialic acid utilization in bifidobacteria	Neu5Ac	NagA
Sialic acid utilization in bifidobacteria	Neu5Ac	NagB
Sialic acid utilization in bifidobacteria	Neu5Ac	NanB
Sialic acid utilization in bifidobacteria	Neu5Ac	NanC
Sialic acid utilization in bifidobacteria	Neu5Ac	NanD
Sialic acid utilization in bifidobacteria	Neu5Ac	NanF
Sialic acid utilization in bifidobacteria	Neu5Ac	NanB2
Sialic acid utilization in bifidobacteria	Neu5Ac	NanC2
Sialic acid utilization in bifidobacteria	Neu5Ac	NanD2
HMO utilization in bifidobacteria	LNB	GltA
HMO utilization in bifidobacteria	LNB	GltB
HMO utilization in bifidobacteria	LNB	GltC
HMO utilization in bifidobacteria	LNB	GltF
HMO utilization in bifidobacteria	LNB	GltG
HMO utilization in bifidobacteria	LNB	GltH
HMO utilization in bifidobacteria	LNB	Bga42A
HMO utilization in bifidobacteria	LNB	LnpA
HMO utilization in bifidobacteria	LNB	LnpB
HMO utilization in bifidobacteria	LNB	LnpC
HMO utilization in bifidobacteria	LNB	LnpD
HMO utilization in bifidobacteria	LNB	NagK
HMO utilization in bifidobacteria	LNB	NagA
HMO utilization in bifidobacteria	LNB	NagB
HMO utilization in bifidobacteria	LNT	LnbB
HMO utilization in bifidobacteria	LNT	LnbX
HMO utilization in bifidobacteria	LNT	LnbI
HMO utilization in bifidobacteria	LNT	LacS
HMO utilization in bifidobacteria	LNT	GltA
HMO utilization in bifidobacteria	LNT	GltB
HMO utilization in bifidobacteria	LNT	GltC
HMO utilization in bifidobacteria	LNT	GltF
HMO utilization in bifidobacteria	LNT	GltG
HMO utilization in bifidobacteria	LNT	GltH
HMO utilization in bifidobacteria	LNT	GltA_LNT
HMO utilization in bifidobacteria	LNT	GltB_LNT
HMO utilization in bifidobacteria	LNT	GltC_LNT
HMO utilization in bifidobacteria	LNT	LnbC
HMO utilization in bifidobacteria	LNT	Bga42A
HMO utilization in bifidobacteria	LNT	Bga2A
HMO utilization in bifidobacteria	LNT	Hex1
HMO utilization in bifidobacteria	LNT	NahA
HMO utilization in bifidobacteria	LNT	Hex2
