subsystem	short_name	long_name
Glucose utilization in bifidobacteria	GlcK	Glucokinase (EC 2.7.1.2)
Glucose utilization in bifidobacteria	PpgK	Polyphosphate glucokinase (EC 2.7.1.63)
Glucose utilization in bifidobacteria	GlcP	Glucose MFS permease (TC 2.A.1.1.42)
Glucose utilization in bifidobacteria	GlcU	Glucose DMT permease (TC 2.A.7.5)
Glucose utilization in bifidobacteria	PtsG	Glucose-specific PTS system IIABC components (TC 4.A.1.2.18)
Glucose utilization in bifidobacteria	GluT	Putative transcriptional antiterminator of glucose-specific PTS system (BglG family)
Galactose utilization in bifidobacteria	GalK	Galactokinase (EC 2.7.1.6)
Galactose utilization in bifidobacteria	GalT	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)
Galactose utilization in bifidobacteria	GalE	UDP-glucose 4-epimerase (EC 5.1.3.2)
Galactose utilization in bifidobacteria	LnpD	UDP-hexose 4-epimerase (EC 5.1.3.2)
Galactose utilization in bifidobacteria	Pgm	Phosphoglucomutase (EC 5.4.2.2)
Galactose utilization in bifidobacteria	GalP	Galactose MFS permease (TC 2.A.1.1.42)
Galactose utilization in bifidobacteria	GalS	Putative galactose MFS permease (TC 2.A.2)
Galactose utilization in bifidobacteria	SgaT	Putative galactose MFS permease (TC 2.A.21)
Galactose utilization in bifidobacteria	GalR	Putative transcriptional regulator of galactose utilization (DeoR family)
Galactose utilization in bifidobacteria	GalR2	Putative transcriptional regulator of galactose utilization (LacI family)
Ribose utilization in bifidobacteria	RbsD	D-ribose pyranase (EC 5.4.99.62)
Ribose utilization in bifidobacteria	RbsK	Ribokinase (EC 2.7.1.15)
Ribose utilization in bifidobacteria	RbsA	Ribose ABC transporter ATP-binding component (TC 3.A.1.2)
Ribose utilization in bifidobacteria	RbsB	Ribose ABC transporter substrate-binding component (TC 3.A.1.2)
Ribose utilization in bifidobacteria	RbsC	Ribose ABC transporter permease component (TC 3.A.1.2)
Ribose utilization in bifidobacteria	FruE	Fructose/xylose/ribose/arabinose ABC transporter substrate-binding component (TC 3.A.1.2.23)
Ribose utilization in bifidobacteria	FruF	Fructose/xylose/ribose/arabinose ABC transporter permease component 1 (TC 3.A.1.2.23)
Ribose utilization in bifidobacteria	FruG	Fructose/xylose/ribose/arabinose ABC transporter permease component 2 (TC 3.A.1.2.23)
Ribose utilization in bifidobacteria	FruK	Fructose/xylose/ribose/arabinose ABC transporter ATP-binding component (TC 3.A.1.2.23)
Ribose utilization in bifidobacteria	RbsR	Transcriptional regulator of ribose utilization (LacI family)
N-acetylglucosamine utilization in bifidobacteria	NagEa	Putative N-acetylglucosamine-specific PTS system IIA component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagEb	Putative N-acetylglucosamine-specific PTS system IIB component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagEc	Putative N-acetylglucosamine-specific PTS system IIC component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagE2a	Putative N-acetylglucosamine-specific PTS system-2 IIA component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagE2b	Putative N-acetylglucosamine-specific PTS system-2 IIB component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagE2c	Putative N-acetylglucosamine-specific PTS system-2 IIC component (TC 4.A.1)
N-acetylglucosamine utilization in bifidobacteria	NagK	Putative N-acetylglucosamine kinase (EC 2.7.1.59)
N-acetylglucosamine utilization in bifidobacteria	NagA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
N-acetylglucosamine utilization in bifidobacteria	NagB	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
N-acetylglucosamine utilization in bifidobacteria	Hex1	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)
N-acetylglucosamine utilization in bifidobacteria	NahA	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)
N-acetylglucosamine utilization in bifidobacteria	ChiX	Putative diacetylchitobiose ABC transporter substrate-binding component (TC 3.A.1.1)
N-acetylglucosamine utilization in bifidobacteria	ChiY	Putative diacetylchitobiose ABC transporter permease component 1 (TC 3.A.1.1)
N-acetylglucosamine utilization in bifidobacteria	ChiZ	Putative diacetylchitobiose ABC transporter permease component 2 (TC 3.A.1.1)
N-acetylglucosamine utilization in bifidobacteria	ChiR	Putative transcriptional regulator of diacetylchitobiose utilization (LacI family)
N-acetylglucosamine utilization in bifidobacteria	NagKs	Putative N-acetylglucosamine kinase involved in GlcNAc-6S utilization (EC 2.7.1.59)
N-acetylglucosamine utilization in bifidobacteria	NagAs	N-acetylglucosamine-6-phosphate deacetylase involved in GlcNAc-6S utilization (EC 3.5.1.25)
N-acetylglucosamine utilization in bifidobacteria	NagBs	Glucosamine-6-phosphate deaminase involved in GlcNAc-6S utilization (EC 3.5.99.6)
