"Y","AscK","AscG","SgbH","SgbU","AraD","AscT","AscR","XulT","XulK","XulR"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"1","0","0","0","1","1","0","0","1","1","1"
"0","0","0","0","1","0","0","0","0","0","0"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"0","0","0","0","1","0","0","0","0","0","0"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"1","0","0","0","1","1","0","0","1","1","1"
"0","0","0","0","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0"
