"Y","FumB","FumC","FumD","FumE","FumF","FumB2","FumC2","FumD2","FumE2","FumF2","FucP","FucR","FucO"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","0","0","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","0","0","0","0","0","1","1","1","1","1","1","1"
"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"1","0","0","0","1","1","0","1","1","1","1","1","1","1"
