mcSEED_subsystem	name	alt_names	functional_role_description	dupl_subsystem		functional_role_type	database_classification	additional_classification	function_description	regulon	example_mcSEED_id	example_locus_tag	evidence	evidence_info	reference
Glucose utilization	GlcK	NA	Glucokinase (EC 2.7.1.2)	yes	Glc	downstream_catabolism	EC 2.7.1.2	NA	Phosphorylates D-glucose to D-glucose-6-phosphate	NA	fig|206672.9.peg.1744	BL1691	homology_with_characterized	45% amino acid sequence identity with characterized glucokinase from Streptomyces coelicolor	1435260
Glucose utilization	PpgK	NA	Polyphosphate glucokinase (EC 2.7.1.63)	yes	Glc	downstream_catabolism	EC 2.7.1.63	NA	Catalyzes the phosphorylation of D-glucose to D-glucose-6-phosphate using polyphosphate or ATP as the phosphoryl donor	NA	fig|206672.9.peg.49	BL0047	homology_with_characterized	45% amino acid sequence identity with characterized polyphosphate glucokinase from Mycobacterium tuberculosis	8381043
Glucose utilization	GlcP	NA	Glucose MFS permease (TC 2.A.1.1.42)	no	Glc	transporter	TC 2.A.1.1.42	MFS Superfamily; Sugar Porter (SP) Family	Transports D-glucose. Glucose uptake is inhibited by 2-deoxyglucose, mannose, and galactose	NA	fig|206672.9.peg.1685	BL1631	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	16452407
Glucose utilization	GlcU	NA	Glucose DMT permease (TC 2.A.7.5)	no	Glc	transporter	TC 2.A.7.5	DMT Superfamily; Glucose/Ribose Porter (GRP) Family	Transports D-glucose. Glucose uptake is inhibited by 2-deoxyglucose, N-acetylglucosamine, and galactose	NA	fig|552531.3.peg.1574	BIF_00684	characterized_bifido	Mutations in the gene abolish the growth of Bifidobacterium animalis subsp. lactis strains on glucose	18791026;19801460
Glucose utilization	PtsG	NA	Glucose-specific PTS system IIABC components (TC 4.A.1.2.18)	no	Glc	transporter	TC 4.A.1.2.18	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Transports D-glucose with concomitant phosphorylation at the C-6 position	GluT	fig|206672.9.peg.1686	BL1632	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	17183207
Glucose utilization	GluT	NA	Putative transcriptional antiterminator of glucose-specific PTS system (BglG family)	no	Glc	regulator	BglG	NA	Predicted transcriptional antiterminator of ptsG	GluT	fig|206672.9.peg.1687	BL1633	predicted_previously	Function was suggested previously in the literature	26903998
Galactose utilization	GalK	BiGalK	Galactokinase (EC 2.7.1.6)	yes	Gal	downstream_catabolism	EC 2.7.1.6	NA	Phosphorylates D-galactose to D-galactose-1-phosphate	GalR OR GalR2	fig|391904.5.peg.2079	Blon_2062	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697)	22633137
Galactose utilization	GalT	GalT1	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)	yes	Gal	downstream_catabolism	EC 2.7.7.12	NA	Catalyzes the reaction: UDP-glucose + D-galactose-1-phosphate <> D-glucose-1-phosphate + UDP-galactose	GalR OR GalR2	fig|702459.3.peg.419	BBPR_0406	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum PRL2010)	24014529
Galactose utilization	GalE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	yes	Gal	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of UDP-galactose to UDP-glucose	GalR OR GalR2	fig|206672.9.peg.1726	BL1671	homology_with_characterized	42% amino acid sequence identity with characterized UDP-glucose 4-epimerase from Streptococcus thermophilus	1694527
Galactose utilization	LnpD	NA	UDP-hexose 4-epimerase (EC 5.1.3.2)	yes	Gal	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of (i) UDP-N-acetylgalactosamine to UDP-N-acetylglucosamine; (ii) UDP-galactose to UDP-glucose	NagR	fig|565042.3.peg.1676	BLLJ_1620	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNnT	17720833;36094076
