"id","Y","RbsD","RbsK","RbsA","RbsB","RbsC","FruE","FruF","FruG","FruK","RbsR"
"1680.104","0","0","1","0","0","0","0","0","0","0","0"
"1680.7","0","0","1","0","0","0","0","0","0","0","0"
"1680.34","0","0","1","0","0","0","0","0","0","0","0"
"1680.4","0","0","1","0","0","0","0","0","0","0","0"
"1680.39","0","0","1","0","0","0","0","0","0","0","0"
"1680.142","0","0","1","0","0","0","0","0","0","0","0"
"1680.36","0","0","1","0","0","0","0","0","0","0","0"
"1680.151","0","0","1","0","0","0","0","0","0","0","0"
"1680.37","1","0","1","0","0","0","1","1","1","1","0"
"1680.43","0","0","1","0","0","0","0","0","0","0","0"
"1680.160","0","0","1","0","0","0","0","0","0","0","0"
"1680.157","0","0","1","0","0","0","0","0","0","0","0"
"367928.6","0","0","1","0","0","0","0","0","0","0","0"
"1680.5","0","0","1","0","0","0","0","0","0","0","0"
"1680.1827","0","0","1","0","0","0","0","0","0","0","0"
"1437612.3","0","0","1","0","0","0","0","0","0","0","0"
"1680.1826","0","0","1","0","0","0","0","0","0","0","0"
"411481.5","0","0","1","0","0","0","0","0","0","0","0"
"1680.178","0","0","1","0","0","0","0","0","0","0","0"
"6666666.201645","0","0","1","0","0","0","0","0","0","0","0"
"1680.143","0","0","1","0","0","0","0","0","0","0","0"
"1680.1909","0","0","1","0","0","0","0","0","0","0","0"
"518635.5","0","0","1","0","0","0","0","0","0","0","0"
"1683.4","0","0","1","0","0","0","0","0","0","0","0"
"1167629.6","0","0","1","0","0","0","0","0","0","0","0"
"552531.3","0","0","1","0","0","0","0","0","0","0","0"
"1042403.4","0","0","1","0","0","0","0","0","0","0","0"
"555970.3","0","0","1","0","0","0","0","0","0","0","0"
"1681.51","0","0","0","0","0","0","0","0","0","0","0"
"1681.46","0","0","0","0","0","0","0","0","0","0","0"
"1681.129","0","0","0","0","0","0","0","0","0","0","0"
"500634.6","0","0","0","0","0","0","0","0","0","0","0"
"1681.42","0","0","0","0","0","0","0","0","0","0","0"
"1681.1372","0","0","0","0","0","0","0","0","0","0","0"
"484020.3","0","0","0","0","0","0","0","0","0","0","0"
"1681.806","0","0","0","0","0","0","0","0","0","0","0"
"1681.763","0","0","0","0","0","0","0","0","0","0","0"
"1681.762","0","0","0","0","0","0","0","0","0","0","0"
"1681.44","0","0","0","0","0","0","0","0","0","0","0"
"1681.47","0","0","0","0","0","0","0","0","0","0","0"
"1207542.9","0","0","0","0","0","0","0","0","0","0","0"
"1681.48","0","0","0","0","0","0","0","0","0","0","0"
"1681.53","0","0","0","0","0","0","0","0","0","0","0"
"398513.5","0","0","0","0","0","0","0","0","0","0","0"
"1681.94","0","0","0","0","0","0","0","0","0","0","0"
"702459.3","0","0","0","0","0","0","0","0","0","0","0"
"883062.5","0","0","0","0","0","0","0","0","0","0","0"
